TZSAZON_ID,AJTO,CIMTIP,CTELEP,EPULET,HATKEZD,HATVEGE,HAZSZ,IRSZ,KOZTJ,KOZTN,LEPCSOHAZ,ORSZ,PF,SZINT
10112,,SZ,Alsózsolca,,2011-01-01,3999-12-31,36,3571,02,Bocskai,,HU,,
10113,,SZ,Érpatak,,2010-10-14,3999-12-31,28,4245,02,Béke,,HU,,
10114,,SZ,Tárkány,,2010-12-08,3999-12-31,144,2945,01,Fő,,HU,,
10115,,SZ,Érpatak,,2010-10-14,3999-12-31,28,4245,01,Béke,,HU,,
10116,,SZ,Mátészalka,,2010-10-14,3999-12-31,9,4700,23,Hősök,,HU,,
10117,,SZ,Gemzse,,2007-10-20,3999-12-31,36,4567,01,Kossuth,,HU,,
10118,,SZ,Berettyóújfalu,,2010-10-13,3999-12-31,17-19,4100,01,Dózsa György,,HU,,
10119,,SZ,Kisnyárád,,2010-10-14,3999-12-31,34,7759,01,Kossuth,,HU,,
1012,,SZ,Dunakiliti,,2007-10-20,3999-12-31,86,9225,01,Kossuth Lajos,,HU,,
10120,,SZ,Kisnyárád,,2010-10-14,3999-12-31,34,7759,01,Kossuth,,HU,,
10121,,SZ,Lánycsók,,2010-10-18,3999-12-31,9,7759,01,Kossuth,,HU,,
10122,,SZ,Pusztaföldvár,,2010-10-18,3999-12-31,66,5919,01,Rákóczi,,HU,,
10123,,SZ,Lánycsók,,2010-10-15,3999-12-31,3,7759,01,Kossuth,,HU,,
10124,,SZ,Lánycsók,,2010-10-15,3999-12-31,3,7759,01,Kossuth,,HU,,
10125,,SZ,Tiszalök,,2007-10-20,3999-12-31,67,4450,01,Kossuth,,HU,,
10126,,SZ,Dombegyház,,2010-10-13,3999-12-31,5,5836,01,Felszabadulás,,HU,,
10127,,SZ,Nyírbogát,,2010-11-17,3999-12-31,7,4361,02,Hunyadi,,HU,,
10128,,SZ,Szikszó,,2010-10-18,3999-12-31,1,3800,05,Kálvin,,HU,,
10129,,SZ,Lőkösháza,,2010-10-14,3999-12-31,28,5743,02,Eleki,,HU,,
1013,,SZ,Halászi,,2007-10-20,3999-12-31,38,9228,01,Kossuth Lajos,,HU,,
10130,,SZ,Boldogkőújfalu,,2010-10-15,2012-02-21,27,3884,02,Szabadság,,HU,,
10130,,SZ,Boldogkőújfalu,,2012-02-22,3999-12-31,34,3884,02,Szabadság,,HU,,
10131,,SZ,Szamosbecs,,2007-10-20,3999-12-31,57,4745,01,Kossuth Lajos,,HU,,
10132,,SZ,Pacsa,,2011-01-01,3999-12-31,2,8761,01,Kisfaludy,,HU,,
10133,,SZ,Baskó,,2010-10-11,3999-12-31,43,3881,02,Fő,,HU,,
10134,,SZ,Soltvadkert,,2010-10-18,3999-12-31,6,6230,01,Kossuth Lajos,,HU,,
10135,,SZ,Soltvadkert,,2010-10-15,3999-12-31,6,6230,01,Kossuth,,HU,,
10136,,SZ,Bagamér,,2010-10-18,3999-12-31,9,4286,01,Rákóczi,,HU,,
10137,,SZ,Adorjás,,2010-10-15,3999-12-31,38,7841,01,Petőfi Sándor,,HU,,
10138,,SZ,Baranyahídvég,,2010-10-15,3999-12-31,60,7841,01,Szabadság,,HU,,
10139,,SZ,Kisszentmárton,,2010-10-12,3999-12-31,47,7841,01,Kossuth Lajos,,HU,,
1014,,SZ,Hédervár,,2007-10-20,3999-12-31,42,9178,02,Fő,,HU,,
10140,,SZ,Sámod,,2010-10-15,3999-12-31,17,7841,01,Rózsa Ferenc,,HU,,
10141,,SZ,Mándok,,2007-10-20,3999-12-31,1,4644,02,Ady E.,,HU,,
10142,,SZ,Hajdúhadház,,2010-10-18,3999-12-31,1,4242,05,Bocskai,,HU,,
10143,,SZ,Veresegyház,,2010-10-25,3999-12-31,106,2112,01,Fő,,HU,,
10144,,SZ,Sarkadkeresztúr,,2010-10-18,3999-12-31,14,5731,02,Rákóczi,,HU,,
10145,,SZ,Inárcs,,2010-10-13,3999-12-31,4,2365,01,Rákóczi,,HU,,
10146,,SZ,Inárcs,,2010-10-14,3999-12-31,4,2365,01,Rákóczi,,HU,,
10147,,SZ,Szabolcsbáka,,2007-10-20,3999-12-31,120,4547,01,Kossuth,,HU,,
10148,,SZ,Fertőhomok,,2010-10-12,3999-12-31,44,9492,01,Akác,,HU,,
10149,,SZ,Csengerújfalu,,2010-10-18,3999-12-31,61,4764,01,Kossuth,,HU,,
10149,,LE,Csengerújfalu,,2010-10-18,3999-12-31,,4764,,,,HU,3,
1015,,SZ,Kimle,,2007-10-20,3999-12-31,114,9181,02,Fő,,HU,,
10150,,SZ,Szakácsi,,2010-10-18,3999-12-31,2,3786,02,Petőfi Sándor,,HU,,
10151,,SZ,Lucfalva,,2010-10-03,3999-12-31,38,3129,02,Rákóczi,,HU,,
10152,,SZ,Nagykeresztúr,,2010-10-03,3999-12-31,4,3129,02,Salgótarjáni,,HU,,
10153,,SZ,Zsadány,,2010-10-13,3999-12-31,82,5537,01,Béke,,HU,,
10154,,SZ,Paks,,2011-01-31,3999-12-31,1/A,7030,03,Ifjúság,,HU,,
10155,,SZ,Drávapiski,,2010-10-14,3999-12-31,30,7843,01,Fő,,HU,,
10156,,SZ,Drávacsepely,,2010-10-18,3999-12-31,2,7846,01,Dózsa György,,HU,,
10157,,SZ,Kovácshida,,2010-10-14,3999-12-31,11,7847,01,Felszabadulás,,HU,,
10158,,SZ,Kistarcsa,,2010-10-12,3999-12-31,48,2143,01,Szabadság,,HU,,
10159,,SZ,Kistarcsa,,2010-10-12,3999-12-31,48,2143,01,Szabadság,,HU,,
1016,,SZ,Püski,,2007-10-20,3999-12-31,5,9235,01,Felszabadulás,,HU,,
10160,,SZ,Teleki,,2010-10-18,3999-12-31,49,8626,01,Rákóczi,,HU,,
10161,,SZ,Bér,,2010-10-03,3999-12-31,32,3045,02,Petőfi,,HU,,
10162,,SZ,Nógrád,,2010-10-03,3999-12-31,18,2642,01,Hunyadi,,HU,,
10163,,SZ,Pamuk,,2010-10-15,2012-09-25,76,8698,01,Petőfi S.,,HU,,
10163,,SZ,Pamuk,,2012-09-26,3999-12-31,78,8698,01,Petőfi S.,,HU,,
10164,,SZ,Újszentmargita,,2010-10-11,3999-12-31,125,4065,01,Rákóczi,,HU,,
10165,,SZ,Szada,,2011-01-01,3999-12-31,63,2111,01,Dózsa György,,HU,,
10166,,SZ,Szada,,2011-01-01,3999-12-31,76,2111,01,Dózsa György,,HU,,
10167,,SZ,Versend,,2010-10-12,3999-12-31,1,7752,05,Templom,,HU,,
10168,,SZ,Versend,,2010-10-12,3999-12-31,1,7752,01,Zalka Máté,,HU,,
10169,,SZ,Budapest,,2011-01-01,2011-07-07,2,1054,01,Kálmán Imre,,HU,,
10169,,SZ,Budapest,,2011-07-08,3999-12-31,20,1055,01,Honvéd,,HU,,
1017,,SZ,Fertőd,,2007-10-20,3999-12-31,1,9431,08,Madách,,HU,,
10170,,SZ,Mindszent,,2010-10-14,3999-12-31,16,6630,05,Köztársaság,,HU,,
10171,,SZ,Nagykovácsi,,2011-01-01,3999-12-31,3,2094,02,Nagykovácsi,,HU,,
10172,,SZ,Budapest,,2011-01-01,3999-12-31,62-64,1056,01,Váci,,HU,,
10173,,SZ,Pécs,,2011-01-01,3999-12-31,10,7623,01,József Attila,,HU,,
10174,,SZ,Kecskemét,,2011-01-01,3999-12-31,3,6000,05,Deák Ferenc,,HU,,
10175,,SZ,Békéscsaba,,2011-01-01,2012-06-30,2-4,5600,01,József Attila,,HU,,
10175,,SZ,Békéscsaba,,2012-07-01,3999-12-31,2,5600,25,Derkovits,,HU,,
10176,,SZ,Miskolc,,2011-01-01,3999-12-31,1,3525,05,Városház,,HU,,
10177,,SZ,Szeged,,2011-01-01,2012-04-12,1,6722,05,Rákóczi,,HU,,
10177,,SZ,Szeged,,2012-04-13,2012-06-30,1,6722,05,Rákóczi,,HU,,
10177,,SZ,Szeged,,2012-07-01,3999-12-31,1,6741,05,Rákóczi,,HU,,
10178,,SZ,Székesfehérvár,,2011-01-01,3999-12-31,9,8000,05,Szent István,,HU,,
10179,,SZ,Győr,,2011-01-01,3999-12-31,32,9021,02,Árpád,,HU,,
1018,,SZ,Fertőszentmiklós,,2007-10-20,2009-06-30,19,9444,01,Szent István,,HU,,
1018,,SZ,Fertőszentmiklós,,2009-07-01,2010-11-10,19,9444,02,Szent István,,HU,,
1018,,SZ,Fertőszentmiklós,,2010-11-11,3999-12-31,19,9444,01,Szent István,,HU,,
10180,,SZ,Debrecen,,2011-01-01,3999-12-31,54,4024,01,Piac,,HU,,
10181,,SZ,Eger,,2011-01-01,3999-12-31,9,3300,01,Kossuth Lajos,,HU,,
10182,,SZ,Tatabánya,,2011-01-01,3999-12-31,4,2800,05,Fő,,HU,,
10183,,SZ,Salgótarján,,2011-01-01,2012-04-12,36,3100,02,Rákóczi,,HU,,
10183,,SZ,Salgótarján,,2012-04-13,3999-12-31,9,3100,02,Zemlinszky Rezső,,HU,,
10184,,SZ,Budapest,,2011-01-01,3999-12-31,7,1052,01,Városház,,HU,,
10185,,SZ,Kaposvár,,2011-01-01,2012-12-31,3,7400,01,Csokonai,,HU,,
10185,,SZ,Kaposvár,,2013-01-01,3999-12-31,3,7400,01,Csokonai Vitéz Mihály,,HU,,
10186,,SZ,Nyíregyháza,,2011-01-01,3999-12-31,5,4400,23,Hősök,,HU,,
10187,,SZ,Szolnok,,2011-01-01,2012-04-12,2,5000,01,Kossuth Lajos,,HU,,
10187,,SZ,Szolnok,,2012-04-13,3999-12-31,2,5000,02,Kossuth Lajos,,HU,,
10188,,SZ,Szekszárd,,2011-01-01,3999-12-31,11-13,7100,05,Szent István,,HU,,
10189,,SZ,Szombathely,,2011-01-01,3999-12-31,1,9700,05,Berzsenyi Dániel,,HU,,
1019,,SZ,Hegykő,,2007-10-20,3999-12-31,1,9437,01,Iskola,,HU,,
10190,,SZ,Veszprém,,2011-01-01,3999-12-31,1,8200,05,Megyeház,,HU,,
10191,,SZ,Zalaegerszeg,,2011-01-01,3999-12-31,10,8900,01,Kosztolányi Dezső,,HU,,
