TZSAZON_ID,HATKEZD,HATVEGE,NEV,PIR,REGI_PIR
10175,2011-01-01,3999-12-31,DÉL-ALFÖLDI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597210,
10175,2011-01-01,3999-12-31,BÉKÉS MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598372,
10175,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT DÉL-ALFÖLDI REGIONÁLIS INTÉZETE,598701,
10175,2011-01-01,3999-12-31,BÉKÉS MEGYEI KÖZIGAZGATÁSI HIVATAL,775740,
10176,2011-01-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI FÖLDHIVATAL,324887,
10176,2011-01-01,3999-12-31,ÉSZAK-MAGYARORSZÁGI REGIONÁLIS MUNKAÜGYI KÖZPONT,325895,
10176,2011-01-01,3999-12-31,ÉSZAK-MAGYARORSZÁGI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328742,
10176,2011-01-01,3999-12-31,ÉSZAK-MAGYARORSZÁGI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597177,
10176,2011-01-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598383,
10176,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT ÉSZAK-MAGYARORSZÁGI REGIONÁLIS INTÉZETE,598691,
10176,2011-01-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI KÖZIGAZGATÁSI HIVATAL,775751,
10177,2011-01-01,3999-12-31,CSONGRÁD MEGYEI FÖLDHIVATAL,324898,
10177,2011-01-01,3999-12-31,DÉL-ALFÖLDI REGIONÁLIS MUNKAÜGYI KÖZPONT,325884,
10177,2011-01-01,3999-12-31,DÉL-ALFÖLDI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328786,
10177,2011-01-01,3999-12-31,DÉL-ALFÖLDI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597210,
10177,2011-01-01,3999-12-31,CSONGRÁD MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598394,
10177,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT DÉL-ALFÖLDI REGIONÁLIS INTÉZETE,598701,
10177,2011-01-01,3999-12-31,CSONGRÁD MEGYEI KÖZIGAZGATÁSI HIVATAL,722294,
10178,2011-01-01,3999-12-31,FEJÉR MEGYEI FÖLDHIVATAL,324908,
10178,2011-01-01,3999-12-31,KÖZÉP-DUNÁNTÚLI REGIONÁLIS MUNKAÜGYI KÖZPONT,325916,
10178,2011-01-01,3999-12-31,KÖZÉP-DUNÁNTÚLI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328841,
10178,2011-01-01,3999-12-31,KÖZÉP-DUNÁNTÚLI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597276,
10178,2011-01-01,3999-12-31,FEJÉR MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598404,
10178,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT KÖZÉP-DUNÁNTÚLI REGIONÁLIS INTÉZETE,598734,
10178,2011-01-01,3999-12-31,FEJÉR MEGYEI KÖZIGAZGATÁSI HIVATAL,722304,
10179,2011-01-01,3999-12-31,GYŐR-MOSON-SOPRON MEGYEI FÖLDHIVATAL,324919,
10179,2011-01-01,3999-12-31,NYUGAT-DUNÁNTÚLI REGIONÁLIS MUNKAÜGYI KÖZPONT,326023,
10179,2011-01-01,3999-12-31,NYUGAT-DUNÁNTÚLI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328852,
10179,2011-01-01,3999-12-31,NYUGAT-DUNÁNTÚLI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597254,
10179,2011-01-01,3999-12-31,GYŐR-MOSON-SOPRON MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598426,
10179,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT NYUGAT-DUNÁNTÚLI REGIONÁLIS INTÉZETE,598723,
10179,2011-01-01,3999-12-31,GYŐR-MOSON-SOPRON MEGYEI KÖZIGAZGATÁSI HIVATAL,722315,
10180,2011-01-01,3999-12-31,HAJDÚ-BIHAR MEGYEI FÖLDHIVATAL,324920,
10180,2011-01-01,3999-12-31,ÉSZAK-ALFÖLDI REGIONÁLIS MUNKAÜGYI KÖZPONT,325994,
10180,2011-01-01,3999-12-31,ÉSZAK-ALFÖLDI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328818,
10180,2011-01-01,3999-12-31,ÉSZAK-ALFÖLDI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597265,
10180,2011-01-01,3999-12-31,HAJDÚ-BIHAR MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598437,
10180,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT ÉSZAK-ALFÖLDI REGIONÁLIS INTÉZETE,598712,
10180,2011-01-01,3999-12-31,HAJDÚ-BIHAR MEGYEI KÖZIGAZGATÁSI HIVATAL,722326,
10181,2011-01-01,3999-12-31,HEVES MEGYEI FÖLDHIVATAL,324931,
10181,2011-01-01,3999-12-31,ÉSZAK-MAGYARORSZÁGI REGIONÁLIS MUNKAÜGYI KÖZPONT,325895,
10181,2011-01-01,3999-12-31,ÉSZAK-MAGYARORSZÁGI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328742,
10181,2011-01-01,3999-12-31,ÉSZAK-MAGYARORSZÁGI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597177,
10181,2011-01-01,3999-12-31,HEVES MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598448,
10181,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT ÉSZAK-MAGYARORSZÁGI REGIONÁLIS INTÉZETE,598691,
10181,2011-01-01,3999-12-31,HEVES MEGYEI KÖZIGAZGATÁSI HIVATAL,722337,
10182,2011-01-01,3999-12-31,KOMÁROM-ESZTERGOM MEGYEI FÖLDHIVATAL,324942,
10182,2011-01-01,3999-12-31,KÖZÉP-DUNÁNTÚLI REGIONÁLIS MUNKAÜGYI KÖZPONT,325916,
10182,2011-01-01,3999-12-31,KÖZÉP-DUNÁNTÚLI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328841,
10182,2011-01-01,3999-12-31,KÖZÉP-DUNÁNTÚLI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597276,
10182,2011-01-01,3999-12-31,KOMÁROM-ESZTERGOM MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598460,
10182,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT KÖZÉP-DUNÁNTÚLI REGIONÁLIS INTÉZETE,598734,
10182,2011-01-01,3999-12-31,KOMÁROM-ESZTERGOM MEGYEI KÖZIGAZGATÁSI HIVATAL,775762,
10183,2011-01-01,3999-12-31,NÓGRÁD MEGYEI FÖLDHIVATAL,324953,
10183,2011-01-01,3999-12-31,ÉSZAK-MAGYARORSZÁGI REGIONÁLIS MUNKAÜGYI KÖZPONT,325895,
10183,2011-01-01,3999-12-31,ÉSZAK-MAGYARORSZÁGI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328742,
10183,2011-01-01,3999-12-31,ÉSZAK-MAGYARORSZÁGI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597177,
10183,2011-01-01,3999-12-31,NÓGRÁD MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598471,
10183,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT ÉSZAK-MAGYARORSZÁGI REGIONÁLIS INTÉZETE,598691,
10183,2011-01-01,3999-12-31,NÓGRÁD MEGYEI KÖZIGAZGATÁSI HIVATAL,775773,
10184,2011-01-01,3999-12-31,PEST MEGYEI FÖLDHIVATAL,324964,
10184,2011-01-01,3999-12-31,KÖZÉP-MAGYARORSZÁGI REGIONÁLIS MUNKAÜGYI KÖZPONT,325851,
10184,2011-01-01,3999-12-31,FŐVÁROSI ÉS PEST MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598415,
10184,2011-01-01,3999-12-31,PEST MEGYEI KÖZIGAZGATÁSI HIVATAL,722249,
10185,2011-01-01,3999-12-31,SOMOGY MEGYEI FÖLDHIVATAL,324975,
10185,2011-01-01,3999-12-31,DÉL-DUNÁNTÚLI REGIONÁLIS MUNKAÜGYI KÖZPONT,325862,
10185,2011-01-01,3999-12-31,DÉL-DUNÁNTÚLI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328764,
10185,2011-01-01,3999-12-31,DÉL-DUNÁNTÚLI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597199,
10185,2011-01-01,3999-12-31,SOMOGY MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598482,
10185,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT DÉL-DUNÁNTÚLI REGIONÁLIS INTÉZETE,598745,
10185,2011-01-01,3999-12-31,SOMOGY MEGYEI KÖZIGAZGATÁSI HIVATAL,722382,
