TZSAZON_ID,HATKEZD,HATVEGE,NEV,PIR,PIRTIP
12457,2013-07-01,3999-12-31,DESZK KÖZSÉG ÖNKORMÁNYZATA,726533,1
12457,2013-07-01,3999-12-31,ÚJSZENTIVÁN KÖZSÉGI ÖNKORMÁNYZAT,726951,1
12457,2013-07-01,3999-12-31,KÜBEKHÁZA KÖZSÉGI ÖNKORMÁNYZAT,726676,1
12457,2013-07-01,3999-12-31,TISZASZIGET KÖZSÉGI ÖNKORMÁNYZAT,726555,1
12458,2013-07-01,3999-12-31,MÁNDOK VÁROS  ÖNKORMÁNYZATA,731948,1
12458,2013-07-01,3999-12-31,BENK KÖZSÉG ÖNKORMÁNYZATA,442846,1
12459,2013-07-01,3999-12-31,MINDSZENTGODISA KÖZSÉGI ÖNKORMÁNYZAT,331856,1
12459,2013-07-01,3999-12-31,KISBESZTERCE KÖZSÉGI ÖNKORMÁNYZAT,333641,1
12459,2013-07-01,3999-12-31,KISHAJMÁS KÖZSÉGI ÖNKORMÁNYZAT,333630,1
12459,2013-07-01,3999-12-31,BAKÓCA KÖZSÉGI ÖNKORMÁNYZAT,333586,1
12460,2013-07-01,3999-12-31,GYULAJ KÖZSÉGI ÖNKORMÁNYZAT,733579,1
12460,2013-07-01,3999-12-31,PÁRI KÖZSÉG ÖNKORMÁNYZATA,419626,1
12461,2013-07-01,3999-12-31,CSIBRÁK KÖZSÉG ÖNKORMÁNYZATA,417808,1
12461,2013-07-01,3999-12-31,KURD KÖZSÉG ÖNKORMÁNYZATA,415794,1
12462,2013-07-01,3999-12-31,NAGYHARSÁNY KÖZSÉGI ÖNKORMÁNYZAT,331186,1
12462,2013-07-01,3999-12-31,NAGYTÓTFALU KÖZSÉGI ÖNKORMÁNYZAT,556189,1
12462,2013-07-01,3999-12-31,KISHARSÁNY KÖZSÉGI ÖNKORMÁNYZAT,556178,1
12463,2013-07-01,3999-12-31,MEZŐCSÁT KISTÉRSÉG TÖBBCÉLÚ TÁRSULÁSA,585455,1
12463,2013-07-01,3999-12-31,MEZŐCSÁT KISTÉRSÉG TÖBBCÉLÚ TÁRSULÁSA,585455,4
12464,2013-06-21,3999-12-31,NYÍRIBRONY KÖZSÉG ÖNKORMÁNYZATA,404574,1
12464,2013-06-21,3999-12-31,RAMOCSAHÁZA KÖZSÉG ÖNKORMÁNYZATA,442187,1
12464,2013-06-21,3999-12-31,BERKESZ KÖZSÉG ÖNKORMÁNYZATA,442857,1
12464,2013-06-21,3999-12-31,LASKOD KÖZSÉG ÖNKORMÁNYZATA,735001,1
12464,2013-06-21,3999-12-31,NYÍRKÉRCS KÖZSÉG ÖNKORMÁNYZATA,443315,1
