TZSAZON_ID,PIR,STATUSZ,VIZSGDATUM,VIZSGDATUMTOL,XMLDATUM
10135,788777,H,2013-11-15,2013-11-15,2013-11-15
10136,788788,H,2013-11-15,2013-11-15,2013-11-15
10137,788799,H,2013-11-15,2013-11-15,2013-11-15
10138,788809,H,2013-11-15,2013-11-15,2013-11-15
10139,788810,H,2013-11-15,2013-11-15,2013-11-15
1014,366937,H,2013-11-15,2013-11-15,2013-11-15
10140,788821,H,2013-11-15,2013-11-15,2013-11-15
10141,788832,H,2013-11-15,2013-11-15,2013-11-15
10142,788843,H,2013-11-15,2013-11-15,2013-11-15
10143,788865,H,2013-11-15,2013-11-15,2013-11-15
10144,788876,H,2013-11-15,2013-11-15,2013-11-15
10145,788887,H,2013-11-15,2013-11-15,2013-11-15
10146,788898,H,2013-11-15,2013-11-15,2013-11-15
10147,788908,H,2013-11-15,2013-11-15,2013-11-15
10148,788920,H,2013-11-15,2013-11-15,2013-11-15
10149,788942,H,2013-11-15,2013-11-15,2013-11-15
1015,366959,H,2013-11-15,2013-11-15,2013-11-15
10150,788953,H,2013-11-15,2013-11-15,2013-11-15
10151,788975,H,2013-11-15,2013-11-15,2013-11-15
10152,788997,H,2013-11-15,2013-11-15,2013-11-15
10153,789004,H,2013-11-15,2013-11-15,2013-11-15
10154,789015,H,2013-11-15,2013-11-15,2013-11-15
10155,789026,H,2013-11-15,2013-11-15,2013-11-15
10156,789037,H,2013-11-15,2013-11-15,2013-11-15
10157,789048,H,2013-11-15,2013-11-15,2013-11-15
10158,789060,H,2013-11-15,2013-11-15,2013-11-15
10159,789071,H,2013-11-15,2013-11-15,2013-11-15
1016,367000,H,2013-11-15,2013-11-15,2013-11-15
10160,789082,H,2013-11-15,2013-11-15,2013-11-15
10161,789093,H,2013-11-15,2013-11-15,2013-11-15
10162,789103,H,2013-11-15,2013-11-15,2013-11-15
10163,789114,H,2013-11-15,2013-11-15,2013-11-15
10164,789125,H,2013-11-15,2013-11-15,2013-11-15
10165,789158,H,2013-11-15,2013-11-15,2013-11-15
10166,789169,H,2013-11-15,2013-11-15,2013-11-15
10167,789170,H,2013-11-15,2013-11-15,2013-11-15
10168,789181,H,2013-11-15,2013-11-15,2013-11-15
10169,789192,H,2013-11-15,2013-11-15,2013-11-15
1017,367044,H,2013-11-15,2013-11-15,2013-11-15
10170,789213,H,2013-11-15,2013-11-15,2013-11-15
10171,789224,H,2013-11-15,2013-11-15,2013-11-15
10172,789235,H,2013-11-15,2013-11-15,2013-11-15
10173,789246,H,2013-11-15,2013-11-15,2013-11-15
10174,789257,H,2013-11-15,2013-11-15,2013-11-15
10175,789268,H,2013-11-15,2013-11-15,2013-11-15
10176,789279,H,2013-11-15,2013-11-15,2013-11-15
10177,789280,H,2013-11-15,2013-11-15,2013-11-15
10178,789291,H,2013-11-15,2013-11-15,2013-11-15
10179,789301,H,2013-11-15,2013-11-15,2013-11-15
1018,367055,H,2013-11-15,2013-11-15,2013-11-15
10180,789312,H,2013-11-15,2013-11-15,2013-11-15
10181,789323,H,2013-11-15,2013-11-15,2013-11-15
10182,789334,H,2013-11-15,2013-11-15,2013-11-15
10183,789345,H,2013-11-15,2013-11-15,2013-11-15
10184,789356,H,2013-11-15,2013-11-15,2013-11-15
10185,789367,H,2013-11-15,2013-11-15,2013-11-15
10186,789378,H,2013-11-15,2013-11-15,2013-11-15
10187,789389,H,2013-11-15,2013-11-15,2013-11-15
10188,789390,H,2013-11-15,2013-11-15,2013-11-15
10189,789400,H,2013-11-15,2013-11-15,2013-11-15
1019,367066,H,2013-11-15,2013-11-15,2013-11-15
10190,789411,H,2013-11-15,2013-11-15,2013-11-15
10191,789422,H,2013-11-15,2013-11-15,2013-11-15
10192,789433,H,2013-11-15,2013-11-15,2013-11-15
10193,789444,H,2013-11-15,2013-11-15,2013-11-15
10194,789466,H,2013-11-15,2013-11-15,2013-11-15
10195,789477,H,2013-11-15,2013-11-15,2013-11-15
10196,789488,H,2013-11-15,2013-11-15,2013-11-15
10197,789499,H,2013-11-15,2013-11-15,2013-11-15
10198,789509,H,2013-11-15,2013-11-15,2013-11-15
10199,789510,H,2013-11-15,2013-11-15,2013-11-15
102,311465,H,2013-11-15,2013-11-15,2013-11-15
1020,367077,H,2013-11-15,2013-11-15,2013-11-15
10200,789521,H,2013-11-15,2013-11-15,2013-11-15
10201,789532,H,2013-11-15,2013-11-15,2013-11-15
10202,789543,H,2013-11-15,2013-11-15,2013-11-15
10203,789554,H,2013-11-15,2013-11-15,2013-11-15
10204,789565,H,2013-11-15,2013-11-15,2013-11-15
10205,789576,H,2013-11-15,2013-11-15,2013-11-15
10206,789587,H,2013-11-15,2013-11-15,2013-11-15
10207,789598,H,2013-11-15,2013-11-15,2013-11-15
10208,789608,H,2013-11-15,2013-11-15,2013-11-15
10209,789619,H,2013-11-15,2013-11-15,2013-11-15
1021,367088,H,2013-11-15,2013-11-15,2013-11-15
10210,789620,H,2013-11-15,2013-11-15,2013-11-15
10211,789631,H,2013-11-15,2013-11-15,2013-11-15
10212,789642,H,2013-11-15,2013-11-15,2013-11-15
10213,789653,H,2013-11-15,2013-11-15,2013-11-15
10214,789664,H,2013-11-15,2013-11-15,2013-11-15
10215,789675,H,2013-11-15,2013-11-15,2013-11-15
10216,789697,H,2013-11-15,2013-11-15,2013-11-15
10217,789707,H,2013-11-15,2013-11-15,2013-11-15
10218,789718,H,2013-11-15,2013-11-15,2013-11-15
10219,789729,H,2013-11-15,2013-11-15,2013-11-15
1022,367121,H,2013-11-15,2013-11-15,2013-11-15
10220,789730,H,2013-11-15,2013-11-15,2013-11-15
10221,789741,H,2013-11-15,2013-11-15,2013-11-15
10222,789752,H,2013-11-15,2013-11-15,2013-11-15
10223,789763,H,2013-11-15,2013-11-15,2013-11-15
10224,789774,H,2013-11-15,2013-11-15,2013-11-15
10225,789785,H,2013-11-15,2013-11-15,2013-11-15
10226,789796,H,2013-11-15,2013-11-15,2013-11-15
10227,789817,H,2013-11-15,2013-11-15,2013-11-15
10228,789839,H,2013-11-15,2013-11-15,2013-11-15
10229,789873,H,2013-11-15,2013-11-15,2013-11-15
1023,367143,H,2013-11-15,2013-11-15,2013-11-15
10230,789884,H,2013-11-15,2013-11-15,2013-11-15
10231,789895,H,2013-11-15,2013-11-15,2013-11-15
10232,789905,H,2013-11-15,2013-11-15,2013-11-15
10233,789938,H,2013-11-15,2013-11-15,2013-11-15
10234,789949,H,2013-11-15,2013-11-15,2013-11-15
10235,789950,H,2013-11-15,2013-11-15,2013-11-15
10236,789972,H,2013-11-15,2013-11-15,2013-11-15
10237,789983,H,2013-11-15,2013-11-15,2013-11-15
10238,790004,H,2013-11-15,2013-11-15,2013-11-15
10239,790037,H,2013-11-15,2013-11-15,2013-11-15
1024,367154,H,2013-11-15,2013-11-15,2013-11-15
10240,790048,H,2013-11-15,2013-11-15,2013-11-15
10241,790114,H,2013-11-15,2013-11-15,2013-11-15
10242,790125,H,2013-11-15,2013-11-15,2013-11-15
10243,790136,H,2013-11-15,2013-11-15,2013-11-15
10244,790147,H,2013-11-15,2013-11-15,2013-11-15
10245,790170,H,2013-11-15,2013-11-15,2013-11-15
10246,790181,H,2013-11-15,2013-11-15,2013-11-15
10247,790213,H,2013-11-15,2013-11-15,2013-11-15
10248,790224,H,2013-11-15,2013-11-15,2013-11-15
10249,790235,H,2013-11-15,2013-11-15,2013-11-15
1025,367176,H,2013-11-15,2013-11-15,2013-11-15
10250,790246,H,2013-11-15,2013-11-15,2013-11-15
10251,790257,H,2013-11-15,2013-11-15,2013-11-15
10252,790268,H,2013-11-15,2013-11-15,2013-11-15
10253,790279,H,2013-11-15,2013-11-15,2013-11-15
10254,790280,H,2013-11-15,2013-11-15,2013-11-15
10255,790291,H,2013-11-15,2013-11-15,2013-11-15
10256,790301,H,2013-11-15,2013-11-15,2013-11-15
10257,790312,H,2013-11-15,2013-11-15,2013-11-15
10258,790323,H,2013-11-15,2013-11-15,2013-11-15
10259,790334,H,2013-11-15,2013-11-15,2013-11-15
1026,367187,H,2013-11-15,2013-11-15,2013-11-15
10260,790345,H,2013-11-15,2013-11-15,2013-11-15
10261,790356,H,2013-11-15,2013-11-15,2013-11-15
10262,790367,H,2013-11-15,2013-11-15,2013-11-15
10263,790378,H,2013-11-15,2013-11-15,2013-11-15
10264,790389,H,2013-11-15,2013-11-15,2013-11-15
10265,790390,H,2013-11-15,2013-11-15,2013-11-15
10266,790400,H,2013-11-15,2013-11-15,2013-11-15
10267,790411,H,2013-11-15,2013-11-15,2013-11-15
10268,790422,H,2013-11-15,2013-11-15,2013-11-15
10269,790433,H,2013-11-15,2013-11-15,2013-11-15
